key,lastUpdateMoment,step,resolutionPercentage,status,resolution,key:claim,key:assistanceAgent
tracking-log-15,2012/07/02 0:00,Lorem ipsum dolor sit ame,0.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-02,assistance-agent-00
tracking-log-16,2012/07/02 0:00,Lorem ipsum dolor sit ame,0.01,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-03,assistance-agent-00
tracking-log-17,2012/07/02 0:00,Lorem ipsum dolor sit ame,99.99,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-04,assistance-agent-00
tracking-log-18,2012/07/02 0:00,Lorem ipsum dolor sit ame,100.00,ACCEPTED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-05,assistance-agent-00
#status-standard variation
tracking-log-19,2012/07/02 0:00,Lorem ipsum dolor sit ame,100.00,ACCEPTED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-24,assistance-agent-53
tracking-log-20,2012/07/02 0:00,Lorem ipsum dolor sit ame,100.00,REJECTED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-07,assistance-agent-51
#resolution-standard variation,"","","",""
tracking-log-21,2012/07/02 0:00,Lorem ipsum dolor sit ame,67.00,PENDING,null,claim-00,assistance-agent-00
tracking-log-22,2012/07/02 0:00,Lorem ipsum dolor sit ame,68.00,PENDING,,claim-00,assistance-agent-00
tracking-log-23,2012/07/02 0:00,Lorem ipsum dolor sit ame,69.00,PENDING,L,claim-00,assistance-agent-00
tracking-log-24,2012/07/02 0:00,Lorem ipsum dolor sit ame,70.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",claim-00,assistance-agent-00
tracking-log-25,2012/07/02 0:00,Lorem ipsum dolor sit ame,71.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",claim-00,assistance-agent-00
tracking-log-26,2012/07/02 0:00,Lorem ipsum dolor sit ame,72.00,PENDING,โลเร็ม อิปซัม,claim-00,assistance-agent-00
tracking-log-27,2012/07/02 0:00,Lorem ipsum dolor sit ame,73.00,PENDING,لوريم إيبسوم,claim-00,assistance-agent-00
tracking-log-28,2012/07/02 0:00,Lorem ipsum dolor sit ame,74.00,PENDING,洛伦·伊普森,claim-00,assistance-agent-00
tracking-log-29,2012/07/02 0:00,Lorem ipsum dolor sit ame,75.00,PENDING,<marquee>Hacked</marquee>,claim-00,assistance-agent-00
tracking-log-30,2012/07/02 0:00,Lorem ipsum dolor sit ame,76.00,PENDING,<script>alert(‘Hacked!’);</script>,claim-00,assistance-agent-00
tracking-log-31,2012/07/02 0:00,Lorem ipsum dolor sit ame,77.00,PENDING,' or 'A' = 'A,claim-00,assistance-agent-00
#claim-standard variation
tracking-log-32,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-01,assistance-agent-00
tracking-log-33,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-25,assistance-agent-51
tracking-log-34,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-26,assistance-agent-53
